INFO 2025-04-06 18:04:52,195 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/sites/requests.py first seen with mtime 1714826478.529448
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/dis.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/core/checks/model_checks.py first seen with mtime 1714826478.5668511
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/prometheus_client/mmap_dict.py first seen with mtime 1736507883.6227531
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/certifi/__init__.py first seen with mtime 1732828296.9850378
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_sha512.cpython-310-darwin.so first seen with mtime 1654533864.0
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/sqlparse/exceptions.py first seen with mtime 1714826477.9907112
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1714826478.5881798
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/views/generic/__init__.py first seen with mtime 1714826478.6252246
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/error.py first seen with mtime 1736539163.6330738
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/contrib/admin/views/main.py first seen with mtime 1714826478.1915972
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/migrations/utils.py first seen with mtime 1714826478.5877714
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/binascii.cpython-310-darwin.so first seen with mtime 1654533866.0
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/errors.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/requests/sessions.py first seen with mtime 1732828296.993231
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/models/indexes.py first seen with mtime 1714826478.5902927
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/uu.py first seen with mtime 1654533576.0
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/yaml/cyaml.py first seen with mtime 1736539163.6346245
DEBUG 2025-04-06 18:04:52,360 autoreload File /Users/vadimmorozov/git/recipe/venv/lib/python3.10/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1714826478.5957477
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/zlib.cpython-310-darwin.so first seen with mtime 1654533868.0
DEBUG 2025-04-06 18:04:52,360 autoreload File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_multibytecodec.cpython-310-darwin.so first seen with mtime 1654533863.0
